danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.591,0.309,0.0,-10.435,1.0,0.0253,0.655,0.475,0.0968,0.35,129.991,audio_features,3g5v5S6Adv3gqPpKuli6Q5,spotify:track:3g5v5S6Adv3gqPpKuli6Q5,https://api.spotify.com/v1/tracks/3g5v5S6Adv3gqPpKuli6Q5,https://api.spotify.com/v1/audio-analysis/3g5v5S6Adv3gqPpKuli6Q5,229183.0,4.0
0.465,0.429,6.0,-17.951,1.0,0.0677,0.564,0.056,0.102,0.625,99.813,audio_features,52J1P6LhBytEgXll2Z1lpB,spotify:track:52J1P6LhBytEgXll2Z1lpB,https://api.spotify.com/v1/tracks/52J1P6LhBytEgXll2Z1lpB,https://api.spotify.com/v1/audio-analysis/52J1P6LhBytEgXll2Z1lpB,205583.0,4.0
0.402,0.329,7.0,-14.22,1.0,0.0584,0.4,1.71e-05,0.245,0.112,123.1,audio_features,1wxCdU4g7hAUWkevFKIClG,spotify:track:1wxCdU4g7hAUWkevFKIClG,https://api.spotify.com/v1/tracks/1wxCdU4g7hAUWkevFKIClG,https://api.spotify.com/v1/audio-analysis/1wxCdU4g7hAUWkevFKIClG,198920.0,4.0
0.498,0.419,7.0,-9.285,0.0,0.111,0.785,3.68e-05,0.568,0.262,137.439,audio_features,11ZY9wPKm72osWrXBPYoSc,spotify:track:11ZY9wPKm72osWrXBPYoSc,https://api.spotify.com/v1/tracks/11ZY9wPKm72osWrXBPYoSc,https://api.spotify.com/v1/audio-analysis/11ZY9wPKm72osWrXBPYoSc,314000.0,4.0
0.561,0.51,11.0,-10.51,0.0,0.0682,0.0506,0.036,0.235,0.411,150.123,audio_features,18CbRJkvKJIlkmbg3MqblT,spotify:track:18CbRJkvKJIlkmbg3MqblT,https://api.spotify.com/v1/tracks/18CbRJkvKJIlkmbg3MqblT,https://api.spotify.com/v1/audio-analysis/18CbRJkvKJIlkmbg3MqblT,220186.0,4.0
0.554,0.479,9.0,-12.022,1.0,0.0569,0.368,0.00241,0.0842,0.176,159.829,audio_features,1EyC2Jmbd6cduxv9vcYlSb,spotify:track:1EyC2Jmbd6cduxv9vcYlSb,https://api.spotify.com/v1/tracks/1EyC2Jmbd6cduxv9vcYlSb,https://api.spotify.com/v1/audio-analysis/1EyC2Jmbd6cduxv9vcYlSb,280056.0,3.0
0.734,0.468,1.0,-9.029,1.0,0.0912,0.018,0.0,0.382,0.285,118.001,audio_features,35tWhD29yvWwB0IDRr6zsL,spotify:track:35tWhD29yvWwB0IDRr6zsL,https://api.spotify.com/v1/tracks/35tWhD29yvWwB0IDRr6zsL,https://api.spotify.com/v1/audio-analysis/35tWhD29yvWwB0IDRr6zsL,188947.0,4.0
0.31,0.693,5.0,-4.266,0.0,0.0488,0.0619,1.24e-05,0.111,0.0815,149.158,audio_features,1ZiRP1fP6Cqc2oG3H6kuRN,spotify:track:1ZiRP1fP6Cqc2oG3H6kuRN,https://api.spotify.com/v1/tracks/1ZiRP1fP6Cqc2oG3H6kuRN,https://api.spotify.com/v1/audio-analysis/1ZiRP1fP6Cqc2oG3H6kuRN,162000.0,4.0
0.518,0.86,3.0,-4.628,1.0,0.0375,0.0324,0.00211,0.246,0.68,125.046,audio_features,0ozMc7n0ItuLpGrUEFDXER,spotify:track:0ozMc7n0ItuLpGrUEFDXER,https://api.spotify.com/v1/tracks/0ozMc7n0ItuLpGrUEFDXER,https://api.spotify.com/v1/audio-analysis/0ozMc7n0ItuLpGrUEFDXER,252780.0,4.0
0.347,0.767,1.0,-5.973,1.0,0.0666,0.3,0.0,0.134,0.327,109.261,audio_features,6DkohHShwLU1NCtGRqY42v,spotify:track:6DkohHShwLU1NCtGRqY42v,https://api.spotify.com/v1/tracks/6DkohHShwLU1NCtGRqY42v,https://api.spotify.com/v1/audio-analysis/6DkohHShwLU1NCtGRqY42v,231583.0,3.0
0.485,0.331,8.0,-9.935,1.0,0.356,0.108,0.00319,0.0945,0.61,96.858,audio_features,4yHYjLDcFlSEYnsmqYxIrA,spotify:track:4yHYjLDcFlSEYnsmqYxIrA,https://api.spotify.com/v1/tracks/4yHYjLDcFlSEYnsmqYxIrA,https://api.spotify.com/v1/audio-analysis/4yHYjLDcFlSEYnsmqYxIrA,84562.0,4.0
