id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1o0kWPueYo94LIjPYOE5Nf,Saint Pablo,Kanye West,69,2016-06-10,0.461,0.772,2,-3.98,0,0.282,0.0,0.178,0.414,167.018,372113,4
0V6QNE31BWyMuiKlvDRnE9,(How Could Anybody) Feel at Home,Open Mike Eagle,41,2017-09-15,0.623,0.819,7,-6.377,1,0.121,0.141,0.118,0.705,79.435,254049,4
46pKXSkEQfqB0wEy5uxtcG,95 Radios,Has-Lo,30,2017-09-15,0.552,0.328,0,-10.108,1,0.638,0.596,0.414,0.175,175.787,243369,4
5NvymSl3Kz7hZpwB00bwHg,Rock N Roll Is Dead,JPEGMAFIA,43,2018-01-19,0.636,0.865,1,-4.457,1,0.21,2.14e-06,0.116,0.596,119.07,188308,4
3EMBRAE27agDta0zxgH8p4,DD Form 214,JPEGMAFIA,44,2018-01-19,0.587,0.543,1,-9.641,1,0.15,9.39e-05,0.379,0.488,116.609,195187,4
6XyxCBp6x3jvtxXvMN5sAA,1539 N. Calvert,JPEGMAFIA,64,2018-01-19,0.863,0.717,4,-3.143,0,0.278,0.0826,0.0991,0.357,152.05,157259,4
13HQt9tUaNIZFXA4aUq9cO,Artificial Death In The West,Death Grips,40,2012-10-01,0.602,0.928,2,-4.376,1,0.00148,0.00126,0.0997,0.477,141.969,359307,4
3Pt8XN6zWFmW2ShLna8Ttb,Hunger Games,Death Grips,41,2012-10-01,0.65,0.784,6,-3.689,1,0.00408,0.0,0.229,0.588,100.106,159187,5
5dGuyKSWQ4bZUmWTWWfL0K,BB Poison,Death Grips,43,2016-05-06,0.502,0.897,1,-4.951,1,0.000414,6.63e-06,0.102,0.263,131.749,185513,4
7nCONy10IHp7XD3oYZ0lcx,I've Seen Footage,Death Grips,60,2012-04-23,0.603,0.944,11,-3.626,0,0.0481,0.0,0.342,0.418,130.035,202853,4
5ZtF5IAVOaAQfVjbZav0K2,System Blower,Death Grips,49,2012-04-23,0.747,0.788,11,-3.976,0,0.0292,0.0,0.148,0.837,140.034,228093,4
6Ucjy0z1uO111RCUVXqhnn,Punk Weight,Death Grips,49,2012-04-23,0.368,0.95,2,-4.521,1,0.0301,4.59e-06,0.384,0.616,130.568,204240,4
3mH8S4DhNu27hRclkjTzl4,Bitch Please,Death Grips,47,2012-04-23,0.441,0.799,11,-3.407,0,0.0166,0.0,0.0633,0.456,116.21,176000,4
7y8X0Z04gJCKtfrnSAMywJ,Hacker,Death Grips,58,2012-04-23,0.681,0.88,9,-3.895,1,0.0567,0.0,0.0893,0.38,124.885,275520,4
32UioUCnMFsr2UN7SvDyXj,Slow Jamz,Jamie Foxx,0,2004-02-13,0.569,0.744,2,-5.757,0,0.369,0.0,0.256,0.59,145.063,316053,4
1RoMbgq42xO1DDseGTtuEE,Breathe In Breathe Out,Ludacris,0,2004-02-13,0.533,0.72,1,-3.401,0,0.344,0.0,0.185,0.921,82.645,246933,1
5wTVNpi5WDByxBgKgUE6MU,Supermodel,SZA,74,2017-06-09,0.613,0.442,6,-8.874,1,0.651,0.0,0.26,0.252,119.737,181120,5
5yvhdo8FXbBsIllxv2Rr94,Prom,SZA,68,2017-06-09,0.805,0.702,1,-4.877,1,0.0639,0.0,0.123,0.225,120.048,196133,4
19woxaSpjOefa2JnAOoqW5,Garden (Say It Like Dat),SZA,72,2017-06-09,0.73,0.457,9,-7.26,1,0.0705,0.0,0.124,0.549,111.352,208400,4
6gU9OKjOE7ghfEd55oRO57,The Weekend,SZA,77,2017-06-09,0.4,0.366,8,-9.405,0,0.242,0.0,0.126,0.161,73.313,272187,3
